,text,target,sender,link,hostile,If hostile is it directed ?,group,id
31,"@peezeeb_ Man that's just what them niggas do when they ain't tryna lose they money, even 50 filed for bankruptcy when shortty was tryna get his bread, that nigga R kelly was heavily booked for a decade.. promise dat nigga aint broke",peezeeb_,KoryMarcel_,https://twitter.com/statuses/1099728415337447424,1,0,11,1099728415337447424
32,@TheMMATrader So since we’re talking anal virginity 😂,TheMMATrader,Evan317,https://twitter.com/statuses/1099426609692459008,1,1,10,1099426609692459008
33,"@DangoteOfData You might not be a scammer, but you’re arrogant as fuck. A little humility while doing your business won’t hurt. It doesn’t make you a beggar, it just gives you the ability to retain customers.",DangoteOfData,toluakinn,https://twitter.com/statuses/1095608075325706240,1,1,1,1095608075325706240
34,@BDUTT @tejasrangnekar U r not invited to the party jihadi aurat. https://t.co/Y0bTSGAtpl,BDUTT,iipankajchauhan,https://twitter.com/statuses/1100232975302647808,1,1,0,1100232975302647808
35,@CallMeKat_1 😂 pride nothing i don’t even want that nomo just the sex my mind &amp; heart like no now🤗😂,CallMeKat_1,qvvnnnn,https://twitter.com/statuses/1095112772457824258,0,0,1,1095112772457824258
36,"@garrcanine meanwhile my stupid teenage ass when FFXII was released back in the day: WHAT THE FUCK DO YOU MEAN, IFRIT ISN'T A SUMMON OF ANY KIND AND IT'S A SHIP. CANCEL THIS GAME AT ONCE.",garrcanine,BemusedBehemoth,https://twitter.com/statuses/1100148962357587968,0,0,11,1100148962357587968
37,@Crushedjoy @Vindyvondo @QueenYohane @WattheWut I really want someone to fucking explain how this shit was good. How?  Even Imdb or whatever gave this shit a 6/10 lol,Crushedjoy,GuitarSk8rboy,https://twitter.com/statuses/1095231043962052608,0,0,1,1095231043962052608
38,@uzivert This nigga is broken 😂😂,uzivert,SSxK__,https://twitter.com/statuses/1100051329110675456,0,0,0,1100051329110675456
39,@Goonew64 nigga i might cry,Goonew64,reak444,https://twitter.com/statuses/1099746955423551489,0,0,10,1099746955423551489
40,@guardian Shocker! A garabage human being did something horrible??? All the conor twat fans can all fuck off now.,guardian,ammb7,https://twitter.com/statuses/1105275092332957701,1,0,10,1105275092332957701
41,@PatPokemon @IdaMickel @NFL @Jaguars you're qb makes out with grown men and his kids. those rings dont mean shit anymore lmao and why u acting like u earned the rings too😂?? mental illness,PatPokemon,brazyboi24,https://twitter.com/statuses/1099340229578678272,1,1,0,1099340229578678272
42,@OGCorey Who the fuck said “My nigga”? https://t.co/MYndAQiW2w,OGCorey,NickyMac216,https://twitter.com/statuses/1099749534224302080,1,0,0,1099749534224302080
43,@ryanjreilly Fucking HELL.  Can you imagine this shit in ANY other democratic nation? Has America lost all of it's dignity and pride? What a fucking shit show.,ryanjreilly,NoahGnisisium,https://twitter.com/statuses/1100857003243696133,1,0,0,1100857003243696133
44,"@Xian_Bell cuz this nigga named joe back in the day was hella black &amp; bitter &amp; would sweat profusely ‘cause he was always hella hot &amp; one day somebody was like ‘damn joe, you damnear a cup of coffee nigga’ &amp; it just stuck",Xian_Bell,ImanEurope,https://twitter.com/statuses/1099726236853518341,0,0,11,1099726236853518341
45,@shooootajay @ESSMCKENZIE nigga go get sum money and stop worrying abt us🙄,shooootajay,LUVLICEE,https://twitter.com/statuses/1100087146491334656,0,0,11,1100087146491334656
46,@Masokiss_ @imgonregretthis They do it the same reason people that’s born with female organs do it. They not doing it in a “this nigga gay” way they doing it in a “i fucked this nigga now he trying to act like he don’t know me” way it’s just that the inte,Masokiss_,BareNAlone,https://twitter.com/statuses/1100196771421138944,0,0,0,1100196771421138944
47,@talkSPORTDrive @Smithyunited @talkSPORT Apologise to fucking who? You? Really are a twat aren’t ya,talkSPORTDrive,GeorgeWalsh45,https://twitter.com/statuses/1105409768229953536,1,1,10,1105409768229953536
48,@BBCMOTD Twat,BBCMOTD,Liamjacko,https://twitter.com/statuses/1099763583758536705,1,0,10,1099763583758536705
49,@nojumper Yal be cool with these lil ass white kids saying nigga like this??,nojumper,D_Eight8,https://twitter.com/statuses/1099831283151237120,1,0,10,1099831283151237120
50,@jailcap Nigga what..,jailcap,Da2kGawd_,https://twitter.com/statuses/1105233268423704582,1,1,10,1105233268423704582
51,@InktownJae @KKnitch @GunsGrizzy @Slums @2Asylum Nigga u dumb ? Obviously I did my hair like that for the pic,InktownJae,AppointlyTX,https://twitter.com/statuses/1100042161003864064,1,1,0,1100042161003864064
52,@PuncakeSSBU @NintendoAmerica Why would you want to buff his smash attacks you goddamn Retard,PuncakeSSBU,buzzardslicer,https://twitter.com/statuses/1105677013984137216,1,1,0,1105677013984137216
53,@HoopeFiasco I hate him so much. We went to the hookah spot out there after the game.  This nigga walked in and sat right across from us.  I was PISSED 😭,HoopeFiasco,JazOuttaControl,https://twitter.com/statuses/1099773779683803138,1,0,1,1099773779683803138
54,"@Pennsylvania274 @PlaySpellbreak Nah custom lobbies are only for people with a fuck ton of supporters. While I have a decent amount, I'm nowhere near that level.",Pennsylvania274,tasteslikesalt,https://twitter.com/statuses/1095763409503690752,0,0,1,1095763409503690752
55,"@donIuke what a cunt, thank you. very much appreciated",donIuke,RafasTrickyGays,https://twitter.com/statuses/1099747777582678016,1,0,10,1099747777582678016
56,@Timo_C15 @PochOnPoint @AlasdairGold Where do you say it?you just said it? You honestly think Kane was the reason we lost yesterday? You are s joke . I can’t and don’t take you seriously. Llorente played 30 minutes yesterday and did fuck all . But it some how is Kane’s fault . He made everyone pay shit 😂,Timo_C15,chriscumner,https://twitter.com/statuses/1099651275308916741,1,1,0,1099651275308916741
57,@HoodStarzMusic Q to the fuckin C‼️‼️ ..plus Drake❕🤣 fuck the rest 🗣PERIOD https://t.co/GcHHIKE5za,HoodStarzMusic,iam_Beasty,https://twitter.com/statuses/1099911791151325184,1,0,0,1099911791151325184
58,@_kurlz95 @TavianJordan This nigga know I love him I’m just talkin shit 😂😂,_kurlz95,auggboe,https://twitter.com/statuses/1105508744991956992,0,0,11,1105508744991956992
59,@kivounce WHAT THE FUCK IN MY DMS THAT CAME BEFORE YOU SAID INCEST .,kivounce,vouIeir,https://twitter.com/statuses/1099403285293723648,0,0,11,1099403285293723648
60,@THE_HaMST3r Yeah. She fusses the little cunt and chats to him.,THE_HaMST3r,RAFpolicedog,https://twitter.com/statuses/1105178689963286529,0,0,11,1105178689963286529
61,@dancing_bratz @stephannie_101 @NolimitTy23  this nigga off the molly 😂😂😂,dancing_bratz,Yiuu_Phyuck,https://twitter.com/statuses/1101274793008074752,1,0,0,1101274793008074752
62,@KingT100_ @HBCUfessions Nigga 😂😂😂,KingT100_,Miss_Danja,https://twitter.com/statuses/1105176875092066306,0,0,11,1105176875092066306
63,@DaSupremeXtream ofc it's not coincidence. and do you know what's the irony? that he said that false rape allegations are an imaginary boogeyman after the 1st episode of The Rising of the Shield Hero aired and then he was accused of sexual offense. karma,DaSupremeXtream,Ikazutchi,https://twitter.com/statuses/1096166480612388865,0,0,1,1096166480612388865
64,"@MattMcMuscles &gt;me after a long recount of events  Believe me, I don't want it to be true, but holy shit this has been going on for YEARS?  Allegations, facts, whatever... This shit should never be something that you have even ONE account of. https://t",MattMcMuscles,TheKeanBean1,https://twitter.com/statuses/1095161630730551296,0,0,10,1095161630730551296
65,@aweezy30 Yooo...ma nigga 🙌 Been busy making it for us now 😘,aweezy30,tumi_harry,https://twitter.com/statuses/1105176283103838210,0,0,11,1105176283103838210
66,@mainelandd that's some other shit 😭😂😂,mainelandd,jaaaaassmine__,https://twitter.com/statuses/1095522842542788608,0,0,11,1095522842542788608
67,@hennydemiks2 Nigga is always sexually harassing athletico....just a goat doing goat things,hennydemiks2,jcorado28,https://twitter.com/statuses/1105587269996593152,0,0,10,1105587269996593152
68,"@lilt0asty If you’re feeling like that just take a step back and chill, evaluate shit and just focus on yourself for a little while. Sometimes it’s okay to be selfish",lilt0asty,EefulN,https://twitter.com/statuses/1094873442002915330,0,0,11,1094873442002915330
69,@YoungDaggerDev And nigga you too damn comfy with telling people business they they confide in you. That’s shits fucked. I mean idgaf that you told her my shit. Cause fuck it 😂 but that other shit...you wrong asl,YoungDaggerDev,Haley_Funches24,https://twitter.com/statuses/1101002297868455936,1,1,11,1101002297868455936
70,@indy100 What a cunt,indy100,jonesykevin,https://twitter.com/statuses/1099741636932890624,1,0,10,1099741636932890624
71,@AdvBarryRoux This nigga is acting😂😂,AdvBarryRoux,YostaWord97,https://twitter.com/statuses/1100011472200052736,0,0,10,1100011472200052736
72,@soniay1969 @NilWil72 Isn’t it funny how the guys who want girls to make an effort to date them are men who women won’t fuck in the first place ?,soniay1969,EJAfc,https://twitter.com/statuses/1099263787113345024,0,0,11,1099263787113345024
73,@Monty_Badu I know a nigga who lashes 🤷🏾‍♀️ Do yo shit b,Monty_Badu,yaenykelledos,https://twitter.com/statuses/1105175937988071424,0,0,11,1105175937988071424
74,@heidicullinan OMG. This is my flailing ass every time I try to play a video game.,heidicullinan,_AdeleBuck,https://twitter.com/statuses/1101876123170938881,0,0,10,1101876123170938881
75,"@Purdonkey7 @CllrJohnSwin @MuckersThe @KnightTangerine Jesus... What a cunt. Mind you, shouldn't expect anything else from a Nobber.",Purdonkey7,Gradderz_78,https://twitter.com/statuses/1099963829600075776,1,1,1,1099963829600075776
76,@hvrtadlai @DerrickDCC @GoonProdigy This nigga jus referred to himself an others alike as “big bodies “ 😭,hvrtadlai,Quentin_evans18,https://twitter.com/statuses/1099879912716918784,0,0,10,1099879912716918784
77,@dieuseulMeille1 Real shit my brother 😂,dieuseulMeille1,Cole_Evander,https://twitter.com/statuses/1101672497081143296,0,0,1,1101672497081143296
78,@hackthisaccount @PoliticsJOE_UK She's such a cunt,hackthisaccount,GingerBen69,https://twitter.com/statuses/1105596205298520064,1,0,11,1105596205298520064
79,@DoxNyou Shit if you driving a hell cat why tf you asking another nigga for some money bitch ass nigga,DoxNyou,ZectinYT,https://twitter.com/statuses/1105260478434037760,1,1,1,1105260478434037760
80,@antyjan @meljomur it gets fed into some kids who then spread it at school. It's a disease ffs. Ah remember one eh ma school makes shouting 'hurry up you orange bastard ' at a guy in an orange hi viv top. Ah was 15 and hadn't a clue what he was on about.,antyjan,BillOddiesBeard,https://twitter.com/statuses/1099295637068222465,1,1,1,1099295637068222465
81,@cola You nigga,cola,Gunerzx,https://twitter.com/statuses/1105208221675991040,1,1,11,1105208221675991040
82,@jacknutz21 My nigga 👀,jacknutz21,sidewayzyeez420,https://twitter.com/statuses/1105175670445957122,0,0,11,1105175670445957122
83,@JRM1862 Can’t stand him mate he praised Liverpool for keeping the ball even though De gea didn’t have one save to make and we was missing 4 key players. He’s a cunt,JRM1862,RPappy123,https://twitter.com/statuses/1099741396695769090,1,0,1,1099741396695769090
84,"@PopCrave She looks like she doesn’t give a fuck about anything, and I love it 😍",PopCrave,LinWarriorS,https://twitter.com/statuses/1095353561045557248,0,0,10,1095353561045557248
85,@SmallAsianGirl Exactly you and Sheared didn't join so I had to wait extra time to find more people and I COULDN'T EVEN MANAGE TO FIND ANY YOU CUNT.,SmallAsianGirl,HellBird_,https://twitter.com/statuses/1105179423999971329,1,1,1,1105179423999971329
86,@jpnot_jusplayin Exactly dawg this nigga basically said they overpaid to send a message that this is definitely their guy lol 😂,jpnot_jusplayin,jwilds41,https://twitter.com/statuses/1105254977658863617,0,0,11,1105254977658863617
87,@Halawa__ Shit😂😂 this is hilariously mean,Halawa__,SNotavailable,https://twitter.com/statuses/1095934156134072323,0,0,11,1095934156134072323
88,@DoubleJ55321479 This body getting right nigga ain’t nothing poking but hips &amp; titts 💁🏽‍♀️ https://t.co/3WOKKZDPI2,DoubleJ55321479,Nechanee05,https://twitter.com/statuses/1105178963150663681,1,0,11,1105178963150663681
89,@juicyNSw33t  I'll fuck da shyt out yo pretty asss,juicyNSw33t,RastaJames3,https://twitter.com/statuses/1101953838104231937,1,1,10,1101953838104231937
90,@gingeygio ma nigga is that ur dog,gingeygio,pnut_honeydip,https://twitter.com/statuses/1105501754282532864,0,0,11,1105501754282532864
91,"@Sasori_113 @VocalPineapple What I'm wondering is if Deku remembers that he's friend's with a pink horned black/yellow eyed acid making girl, a guy with a bird head who uses darkness as his power, a guy with a big-ass tail, and other freaks.",Sasori_113,Alfonso15825021,https://twitter.com/statuses/1096192047059329024,1,1,1,1096192047059329024
92,@JustColI Ha! I remember you telling me about that 😆 😒 she was lame asf for that shit.,JustColI,illGrabYaBoobs,https://twitter.com/statuses/1094963191443058688,0,0,11,1094963191443058688
93,@bhyna16 My nigga lmaooo I was deadass like...it’s actually my size too 😭 https://t.co/A6NPtbwjmv,bhyna16,BriSherainex3,https://twitter.com/statuses/1105178322290597888,0,0,11,1105178322290597888
94,"@mattyglesias I'm super enjoying all the bootlickers here accepting horrible treatment of workers by the rich and powerful. Throwing shit at people and sabotaging job offers is not the same thing as ""being mean."" I go into work tomorrow and throw stuff at",mattyglesias,KevinRobert818,https://twitter.com/statuses/1099792160344428545,0,0,10,1099792160344428545
95,@RossaBeau @UchennaNG Nigga there is no way to tell a lady she smells nice without sounding sensual.   Wtf is wrong with you niggas?!!,RossaBeau,feminemjean,https://twitter.com/statuses/1105225354560581633,1,1,1,1105225354560581633
96,@Mike_V33 Brad Gluckman is your QB foh nigga,Mike_V33,jnoog89,https://twitter.com/statuses/1105350906013462528,1,0,11,1105350906013462528
97,@caseywhyteee Gonny get you locked up for being a massive twat,caseywhyteee,islaangelonii,https://twitter.com/statuses/1105179444707278855,0,0,11,1105179444707278855
98,@YeomanGoldVEVO NIGGER INSANE,YeomanGoldVEVO,NocontextYTP,https://twitter.com/statuses/1105306878593196032,1,1,1,1105306878593196032
99,@T1DaFool Yea dat nigga got kicccc,T1DaFool,DomingoHefner,https://twitter.com/statuses/1105597978360889346,0,0,11,1105597978360889346
100,@KarlyBelll U have a really sexy ass,KarlyBelll,Minatoryu2,https://twitter.com/statuses/1099579282983211008,1,1,1,1099579282983211008
101,@AlexxShortstuff LMFAOOOO RELAX NIGGA,AlexxShortstuff,_los07,https://twitter.com/statuses/1105513914761134081,0,0,11,1105513914761134081
102,"@Steve_Richo1 the coach was in on, the coach who broke his ban and was running the team illegally, you name it. all in the last couple of years, an absolute international cunt circus if ever i’ve seen one",Steve_Richo1,elvey05,https://twitter.com/statuses/1099946314912083970,1,0,1,1099946314912083970
103,"@iStanMahomes NIGGA HERE, U HAPPY NOW? FUCKKK",iStanMahomes,kalon5hunna,https://twitter.com/statuses/1105177900272271360,1,1,11,1105177900272271360
104,@wizzofodd @AOCpress @JackPosobiec Exactly. She is so bat shit crazy on her own a parody acct can only make her seem rational.,wizzofodd,vrc5223,https://twitter.com/statuses/1094990384026079232,1,0,0,1094990384026079232
105,@KellyannePolls @FelicityHuffman You’re a cunt.,KellyannePolls,traceyaaron3,https://twitter.com/statuses/1105592103768219648,1,1,10,1105592103768219648
106,@cactus_dez THE LAST ONE IS IN SOUTH DAKOTA?! Shit that's my current state! DX where is it?!,cactus_dez,DaChickenHermit,https://twitter.com/statuses/1095202065457053696,0,0,11,1095202065457053696
107,@StarvinLarry @MoogieMonsters @LelenaPeacock @SpicyPurritos @Rosesdaughter61 @stillhopes4best @Keys_Chronic @chattyknana @Elianok10 @VickieLBruton1 @rlamartini @Talkeetna101 @itmeuphoria @mass_confuzion @Irishbrat1966 @PainPlayhouse @Kkittten @JustWinks @HeatherLinda11 @LadyAg72 @brent_kellogg @HaveYouFoundOu1 @Angelsgal02 @PithyPins @GhostinGeek @jmkillingnyc @OleMimi1 @ImSTILLwithHer @BonnieZ36975344 @morse_tami @AlexandCohen @skinandsilly @kellydmiller6 @JGillespie67 @Wanita1 @howardbeale1985 @karen_444 @heidionyc @Brenda82964799 @DrNickels @ZacharyJensen78 @CRPSANGEL @JSG_54 @Kevinmfilms @AuntTritsy @soofriends @Rachjr1 @RobertDRoseJr1 @LindaSh84619011 @VeryFineWhine Yeah no shit Sherlock. WTF do you think I’ve been saying all this time?   Are you high?   Elections have consequences  Vote blue next time 🙄,StarvinLarry,ruffneck_rufo,https://twitter.com/statuses/1095454767923585024,1,1,0,1095454767923585024
108,@ajc Send that nigga to jail! PERIOD! THAT WAY!!! Actually send him to prison!,ajc,FvckYourTaco,https://twitter.com/statuses/1105280564611948544,1,0,10,1105280564611948544
109,"@QuotidianT @jax_persists @rauzersg1 @KennedyB420 @philipbelanger3 @DonaldJTrumpJr 9 wow! give your finger a rest there quick draw.  You're funny, dumb as fuck, but funny.",QuotidianT,Draco_Rider,https://twitter.com/statuses/1094813110492250113,1,1,0,1094813110492250113
110,"@JTViper3 @macho_gomez_ I heard rob ford was having a fundraising dinner, maybe he’s thinking of running. But i really dont know shit about Canadien politics.",JTViper3,Burt_Bobain,https://twitter.com/statuses/1101163471880695813,0,0,11,1101163471880695813
111,"@BlueReputation @ii_constantine @stanleyrogouski see @BlueReputation ? I'm telling you, they save nothing but shit in their brains that's why they will never understand a single thing we say",BlueReputation,gude970127,https://twitter.com/statuses/1099440371526979584,1,0,1,1099440371526979584
112,@tdonnachiex @Haroldozegreat @connell1410 @Danny2723 😂😂 twat,tdonnachiex,chrissmith1001,https://twitter.com/statuses/1105534537973592071,0,0,11,1105534537973592071
113,@Treyskii it’s a shoe my nigga https://t.co/FwYtqNZPPk,Treyskii,mstaylovee,https://twitter.com/statuses/1105476602341875712,1,1,1,1105476602341875712
114,"@RichieAllenShow Alistair Campbell is about as viable,trustworthy &amp; reliable as a condom a hedgehog has previously worn as a makeshift raincoat..TWAT",RichieAllenShow,SittingCalf,https://twitter.com/statuses/1105583400637943808,1,1,10,1105583400637943808
115,@monstercollie @SketchyGenet @pathhyena Shit like this is a roundabout way of saying “I have literally never talked to anyone that’s remotely conservative for any length of time because I’m a hateful bigoted twat that either doesn’t believe my own bullshi,monstercollie,zandafolf,https://twitter.com/statuses/1099794667766460416,1,0,1,1099794667766460416
116,@_kimburleey @MoKnowsss Typical nigga,_kimburleey,Hhalfbaked_,https://twitter.com/statuses/1105305979216789505,1,1,1,1105305979216789505
117,@grumpy2223 @Powerfuldiamon1 @mike_mashall @HumanAtm11 So change it then slut,grumpy2223,PowerfulNew,https://twitter.com/statuses/1095081633634570240,1,1,1,1095081633634570240
118,@cyrilslopehead @ADaniel26099125 @helenzille Utter shit! And how useless is Bafana anyway. Do you know who the number 1 fast bowler is? In the world! We cannot compete internationally with quotas!,cyrilslopehead,AfricanNelson,https://twitter.com/statuses/1101784050040270848,0,0,10,1101784050040270848
119,@ahfreekah @motivatedgeorge @fab__david Ewwww.... Nigga... 🤮🤮🤮  😡Say that one more time https://t.co/T2mTESDLfR,ahfreekah,Xtasy_King,https://twitter.com/statuses/1105344898612498432,1,1,1,1105344898612498432
120,@DanScavino @realDonaldTrump That’s at Beto gathering not shit stains,DanScavino,Lyle55926303,https://twitter.com/statuses/1095260747704066049,1,1,0,1095260747704066049
121,"@KSAMANNY @GREATBLACKOTAKU @ShaneThorneWWE Oh shit, I might be in over my head. How can I replicate a performance that perfect?!",KSAMANNY,EBMakesMusic,https://twitter.com/statuses/1095090892023742465,0,0,10,1095090892023742465
122,@NewYorksFineest 😂shut up nigga,NewYorksFineest,ZeuZ_B,https://twitter.com/statuses/1099905990772826112,1,1,1,1099905990772826112
123,"@BoulosAlQans @BronzeFullHelm idk dude we have a system from moses to evaluate true vs false prophets as well as heresy vs correct teaching, nigga failed the test",BoulosAlQans,ashkenazbol,https://twitter.com/statuses/1099909381901012992,1,0,1,1099909381901012992
124,@FootballCliches @Crap90sFootball ‘I’ve got it I’ve got it...ah shit’,FootballCliches,thinlad,https://twitter.com/statuses/1100135962619887620,0,0,0,1100135962619887620
125,@Xzhilez @skylaFN cunt i legit played 3 games relax,Xzhilez,LateqsFN,https://twitter.com/statuses/1099966255639883776,0,0,11,1099966255639883776
126,@yExampIe nigga its for fun im not playing you for fun im gonna play you to rob you,yExampIe,ZZymph,https://twitter.com/statuses/1105570871798718464,0,0,11,1105570871798718464
127,@zThumperr @PapiWrek Nigga first of all i have no respect for you cause you keyboard. Second the dead game you grinded is IW. 3rd you tweet me dumb shit every time on twitter like i care,zThumperr,Cruceee,https://twitter.com/statuses/1105294388324913153,1,1,1,1105294388324913153
128,@themichaelowen is a dirty boring cunt.,themichaelowen,root_Ezroo,https://twitter.com/statuses/1099746370737659905,1,1,10,1099746370737659905
129,@jackisacoward holy shit,jackisacoward,sanfranciscoian,https://twitter.com/statuses/1100457649219395584,0,0,1,1100457649219395584
130,"@ChimalpahinXIII Oh my god that film was a total shit show in terms of production from what I understand. Also, fun story: I watched it with @LunaOi_VN and she cheered when the Vietnamese woman threw the grenade in the helicopter, lol",ChimalpahinXIII,EmericanJohnson,https://twitter.com/statuses/1099300050310578177,0,0,1,1099300050310578177
131,@DigimonFan4Life @RottenTomatoes Ohhh shit. I didn't watch it. Is there a full trailer out?,DigimonFan4Life,MarcusDigital,https://twitter.com/statuses/1094895656106446848,0,0,11,1094895656106446848
132,"@AndreiWilson1 Yeah nigga, i know you know all bout this bullshit right here lol",AndreiWilson1,curly_headphuk,https://twitter.com/statuses/1105179123352256512,0,0,11,1105179123352256512
133,"@jordynwoods  was SUPER wrong for what she did but sis that wasnt YOUR MANS first time, almost sure it wasn’t his second, and I’m positive is won’t be his last. Tristan is a nasty disgusting cheating ass BITCH. He did it to his other bm and he is doing it to you. FIND BETTER",jordynwoods,giovanna_carpi,https://twitter.com/statuses/1101586572619608064,1,0,0,1101586572619608064
134,@sirDukeDevin 😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂 Give me a break!  More criminals in that WH??  That greaseball as President? Ewe!  You might as well give up having a President altogether!,sirDukeDevin,ConnersSandy,https://twitter.com/statuses/1099856481384509440,1,0,1,1099856481384509440
135,@kmurundi Nigga looks like a fraud himself,kmurundi,BonneyBennerd,https://twitter.com/statuses/1100116305586331649,1,0,11,1100116305586331649
